location,date_only,avg_temperature,precipitation,wind_speed,Location,order_count
California,2019-01-28,4.510434782608695,0.0,2.542173913043478,California,28
California,2019-02-05,2.3,1.7600000000000002,1.5313043478260868,California,25
California,2019-07-01,15.450434782608696,0.0,2.549130434782609,California,15
California,2019-07-13,20.184782608695652,0.0,2.635217391304348,California,146
California,2019-07-31,18.977826086956522,0.0,2.622608695652174,California,45
California,2019-08-02,17.397391304347824,0.0,2.5130434782608693,California,79
California,2019-08-16,20.581739130434784,0.0,2.860869565217391,California,142
California,2019-08-20,17.354347826086954,0.0,2.537391304347826,California,8
California,2019-11-27,-5.294347826086956,2.3791304347826085,3.108260869565217,California,117
California,2019-12-24,-4.161739130434783,6.055652173913043,1.431304347826087,California,9
Chicago,2019-01-28,-3.902173913043478,0.3234782608695652,5.18608695652174,Chicago,11
Chicago,2019-02-05,-15.559565217391304,0.19347826086956518,3.3313043478260873,Chicago,16
Chicago,2019-07-13,26.59391304347826,0.2517391304347826,3.4773913043478264,Chicago,84
Chicago,2019-07-31,21.721739130434784,0.0,2.989130434782609,Chicago,52
Chicago,2019-08-02,24.162608695652175,0.0,1.8813043478260867,Chicago,145
Chicago,2019-08-16,22.68913043478261,0.11043478260869566,3.3330434782608696,Chicago,113
Chicago,2019-11-27,7.283913043478261,1.4556521739130432,7.624347826086957,Chicago,56
Chicago,2019-12-24,5.3386956521739135,5.136521739130435,4.558260869565218,Chicago,1
New Jersey,2019-07-31,29.809565217391306,0.26130434782608697,3.3078260869565215,New Jersey,25
New Jersey,2019-08-02,28.275652173913045,0.45086956521739124,2.4682608695652175,New Jersey,6
New Jersey,2019-11-27,10.704347826086956,0.0,2.551304347826087,New Jersey,70
New Jersey,2019-12-24,5.348695652173913,0.34260869565217394,2.829565217391304,New Jersey,14
New York,2019-07-13,26.616086956521738,0.0,3.569130434782609,New York,60
New York,2019-07-31,28.69173913043478,0.8621739130434782,2.2021739130434783,New York,145
New York,2019-08-02,27.67130434782609,0.07956521739130436,2.1817391304347824,New York,39
New York,2019-08-16,25.31173913043478,0.0,2.3978260869565218,New York,43
New York,2019-08-20,28.773478260869563,0.2426086956521739,2.347826086956522,New York,24
New York,2019-11-27,9.56695652173913,0.0,1.8660869565217393,New York,87
New York,2019-12-24,6.016521739130434,0.3426086956521739,6.619565217391305,New York,11
Washington DC,2019-07-01,24.919999999999998,0.0,3.3504347826086955,Washington DC,12
Washington DC,2019-07-13,27.54217391304348,0.0,2.850869565217391,Washington DC,19
Washington DC,2019-07-31,28.89608695652174,0.060434782608695656,1.6817391304347826,Washington DC,21
Washington DC,2019-08-02,27.20173913043478,0.5843478260869565,2.672608695652174,Washington DC,21
Washington DC,2019-11-27,11.200869565217392,0.0,3.920434782608696,Washington DC,5
